offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2045853699,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-106m2-mzn2045853699,Apartament nad bulwarem przy samej Motławie,2770300.0,PLN,26000.0,106.55,4.0,Gdansk,Srodmiescie,Stepkarska,54.3571396,18.6632596,,
mzn2045888287,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-turystyczna-43m2-mzn2045888287,Kilka kroków od plaży | Basen! | Wysoki standard,774500.0,PLN,17805.0,43.5,2.0,Gdansk,Wyspa,Sobieszewska,54.3495744,18.8163304,,
mzn2042357317,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-leona-wyczolkowskiego-78m2-mzn2042357317,Mieszkanie z ogrodem i garażem,899000.0,PLN,11409.0,78.8,3.0,Gdansk,Siedlce,Leona,54.3787195,18.6135428,,
mzn2043690293,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jana-heweliusza-42m2-mzn2043690293,idealna inwestycja blisko dworca w Gdańsku,998000.0,PLN,23593.0,42.3,2.0,Gdansk,Srodmiescie,Jana,54.391633,18.5996092,,
mzn2045853698,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-66m2-mzn2045853698,Apartament z ogródkiem przy samej Motławie,1392930.0,PLN,21000.0,66.33,3.0,Gdansk,Srodmiescie,Stepkarska,54.3571396,18.6632596,,
mzn2045853696,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stepkarska-66m2-mzn2045853696,Apartament z ogródkiem przy samej Motławie,1392930.0,PLN,21000.0,66.33,3.0,Gdansk,Srodmiescie,Stepkarska,54.3571396,18.6632596,,
mzn2043325823,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-mariacka-45m2-mzn2043325823,"Gdaśńsk, ul. Mariacka - 2 pokoje z potencjałem",1340000.0,PLN,29771.0,45.01,2.0,Gdansk,Srodmiescie,Mariacka,54.35326684,18.65405565,,
mzn2045354476,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-50m2-mzn2045354476,Dwustronny apartament Wyspa Spichrzów,1562014.0,PLN,31035.0,50.33,2.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2045503253,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-pomorska-32m2-mzn2045503253,kawalerka z ładnym widokiem,499000.0,PLN,15316.0,32.58,2.0,Gdansk,Zabianka,Wejhera,54.420626420000005,18.58337421,,
mzn2045790595,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-goralska-60m2-mzn2045790595,Las | Cisza | Komunikacja,746000.0,PLN,12331.0,60.5,3.0,Gdansk,Bretowo,Goralska,54.3772733,18.55781415,,
