source,offer_id,url,title,price_amount,price_currency,price_per_m2,city,district,street,lat,lon,area_m2,rooms,floor,floors,market_type,property_type,first_seen,last_seen
trojmiasto,ogl66093581,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-2-pokojowe-gdansk-sprzedazzamiana-bezposrednio-ogl66093581.html,,499000,PLN,11604.65,Gdansk,,,54.33032,18.628,43,2,,,,,,
trojmiasto,ogl66237705,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-mieszkanie-635-m-starowka-ogl66237705.html,,989000,PLN,15574.8,Gdansk,,,54.35044,18.65299,63.5,2,,,,,,
trojmiasto,ogl66237032,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/na-sprzedaz-2pokoje-1pietroswietna-lokalizacja-ogl66237032.html,,810400,PLN,20000,Gdansk,,,54.39479,18.61695,40.52,2,,,,,,
trojmiasto,ogl66232167,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-ogl66232167.html,,500000,PLN,8818.34,Gdansk,,,54.39913,18.66833,56.7,2,,,,,,
trojmiasto,ogl66232113,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/dwupokojowe-mieszkanie-na-sprzedaz-blisko-centrum-ogl66232113.html,,530000,PLN,15317.92,Gdansk,,,54.35183,18.64554,34.6,2,,,,,,
trojmiasto,ogl66230051,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/sprzedaz-bezposrednio-od-dewelopera-tanie-mieszk-ogl66230051.html,,519000,PLN,9363.16,Reda,,,54.5881,18.36077,55.43,3,,,,,,
trojmiasto,ogl65128741,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-mieszkanie-4-pokojowe-gdansk-wrzeszcz-ogl65128741.html,,770000,PLN,10331.41,Gdansk,,,54.37571,18.61545,74.53,4,,,,,,
trojmiasto,ogl66225563,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/apartament-na-sprzedaz-z-widokiem-na-motlawe-ogl66225563.html,,1536260,PLN,22000,Gdansk,,,54.34731,18.66317,69.83,3,,,,,,
trojmiasto,ogl66224991,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/posiadamy-na-sprzedaz-duze-mieszkanie-jednopoziomo-ogl66224991.html,,950250,PLN,10500,Gdansk,,,54.34909,18.61264,90.5,4,,,,,,
trojmiasto,ogl66224389,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/mieszkanie-na-sprzedaz-gdansk-osowa-nowy-swiat-ogl66224389.html,,593800,PLN,10000,Chwaszczyno,,,54.41464,18.4466,59.38,3,,,,,,
trojmiasto,ogl66222307,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-2-pk-na-sprzedaz-do-wprowadzenia-sie-ogl66222307.html,,480000,PLN,13714.29,Gdynia,,,54.50009,18.51215,35,2,,,,,,
trojmiasto,ogl66221799,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-rumia-ogl66221799.html,,489000,PLN,9367.82,Rumia,,,54.5843,18.38026,52.2,3,,,,,,
trojmiasto,ogl66221618,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/jasne-3-pokojowe-mieszkanie-na-sprzedaz-gdansk-ogl66221618.html,,726000,PLN,12000,Sopot,,,54.38001,18.55945,60.5,3,,,,,,
trojmiasto,ogl66220671,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-torunska-18-gdansk-ogl66220671.html,,755000,PLN,17558.14,Gdansk,,,54.3412,18.65527,43,2,,,,,,
trojmiasto,ogl66217828,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/gdynia-przytulne-mieszkanie-na-sprzedaz-do-remontu-ogl66217828.html,,350000,PLN,10937.5,Pogorze,,,54.55332,18.49979,32,2,,,,,,
trojmiasto,ogl65760301,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/3-pokojowe-mieszkanie-na-sprzedaz-ogl65760301.html,,999000,PLN,13320,Kowale,,,54.35071,18.56042,75,3,,,,,,
