Wejście,Nazwa w TERYT,Typ
Gorzkowice,Gorzkowice,
Gorzków-Osada,Gorzków-Osada,
Gorzów Wielkopolski,Gorzów Wielkopolski,
Gorzyce,Gorzyce,
Górzyn,Górzyn,
Gościcino,Gościcino,
Gościno,Gościno,
Gościszewo,Gościszewo,
Gostkowo,Gostkowo,
Gostycyn,Gostycyn,
Gostyń,Gostyń,
Gostynin,Gostynin,
Goszczyno,Goszczyno,
Goszyn,Goszyn,
Gowarzewo,Gowarzewo,
Gózd,Gózd,
Gozdnica,Gozdnica,
Grabianowo,Grabianowo,
Grabiny-Zameczek,Grabiny-Zameczek,
Grabowiec,Grabowiec,
Grabówka,Grabówka,
Grabowo Kościerskie,Grabowo Kościerskie,
Grabowo Królewskie,Grabowo Królewskie,
Grądy-Woniecko,Grądy-Woniecko,
Grajewo,Grajewo,
Granowo,Granowo,
Grąsino,Grąsino,
Grębocice,Grębocice,
Groblice,Groblice,
Grochowa,Grochowa,
Gródek,Gródek,
Grodków,Grodków,
Grodkowice,Grodkowice,
Grodzisk Mazowiecki,Grodzisk Mazowiecki,
Grodzisk Wielkopolski,Grodzisk Wielkopolski,
Grójec,Grójec,
Gronów,Gronów,
Gronowo Elbląskie,Gronowo Elbląskie,
Grotniki,Grotniki,
Grudziądz,Grudziądz,
Grupa,Grupa,
Gruszczyn,Gruszczyn,
Grybów,Grybów,
Gryfice,Gryfice,
Gryfino,Gryfino,
Gryfów Śląski,Gryfów Śląski,
Gryźliny,Gryźliny,
Grzędy,Grzędy,
Grzegorzowice Wielkie,Grzegorzowice Wielkie,
Grzmiąca,Grzmiąca,
Grzybno,Grzybno,
Grzybowo,Grzybowo,
Gubin,Gubin,
Gudowo,Gudowo,
Gułtowy,Gułtowy,
Gumniska,Gumniska,
Gurcz,Gurcz,
Gurówko,Gurówko,
Gutowo Małe,Gutowo Małe,
Gwiazdowo,Gwiazdowo,
Gwieździn,Gwieździn,
Gwiździny,Gwiździny,
Hajnówka,Hajnówka,
Hanna,Hanna,
Hanulin,Hanulin,
Hel,Hel,
Henryków,Henryków,
Henrykowo,Henrykowo,
Herby,Herby,
Holeszów,Holeszów,
Horodniany,Horodniany,
Horyniec-Zdrój,Horyniec-Zdrój,
Hrubieszów,Hrubieszów,
Ignatki,Ignatki,
Iława,Iława,
Iłowa,Iłowa,
Iłówiec,Iłówiec,
Inowrocław,Inowrocław,
Ińsko,Ińsko,
Istebna,Istebna,
Iwaniska,Iwaniska,
Iwiny,Iwiny,
Izabelin-Dziekanówek,Izabelin-Dziekanówek,
Izbicko,Izbicko,
Jabłkowo,Jabłkowo,
Jabłoniec,Jabłoniec,
Jabłonka,Jabłonka,
Jabłonna,Jabłonna,
Jabłowo,Jabłowo,
Jajkowo,Jajkowo,
Jaksice,Jaksice,
Jaksonów,Jaksonów,
Janczewice,Janczewice,
Janczewo,Janczewo,
Janikowo,Janikowo,
Janiszewo,Janiszewo,
Janki,Janki,
Jankowa Żagańska,Jankowa Żagańska,
Jankowice,Jankowice,
Jankowice Wielkie,Jankowice Wielkie,
Jankowo,Jankowo,
Jankowo Gdańskie,Jankowo Gdańskie,
Janów,Janów,
Janówek,Janówek,
Janowice,Janowice,
Janowice Wielkie,Janowice Wielkie,
Janowiec Wielkopolski,Janowiec Wielkopolski,
Janowo,Janowo,
Jantar,Jantar,
Jaraczewo,Jaraczewo,
Jarocin,Jarocin,
Jarominy,Jarominy,
Jarosław,Jarosław,
Jaroszowiec,Jaroszowiec,
Jaroszówka,Jaroszówka,
Jaroty,Jaroty,
Jasień,Jasień,
Jasin,Jasin,
Jasionka,Jasionka,
Jaśkowo,Jaśkowo,
Jasło,Jasło,
Jasna,Jasna,
Jasna Góra,Jasna Góra,
Jastarnia,Jastarnia,
Jastków,Jastków,
Jastrowie,Jastrowie,
Jastrowo,Jastrowo,
Jastrzębia Góra,Jastrzębia Góra,
Jastrzębie,Jastrzębie,
Jastrzębie-Zdrój,Jastrzębie-Zdrój,
Jawiszowice,Jawiszowice,
Jawor,Jawor,
Jaworki,Jaworki,
Jaworowo,Jaworowo,
Jaworze,Jaworze,
Jaworzno,Jaworzno,
Jaworzyna Śląska,Jaworzyna Śląska,
Jęczniki Małe,Jęczniki Małe,
Jedlina-Zdrój,Jedlina-Zdrój,
Jędrzejów,Jędrzejów,
Jedwabno,Jedwabno,
Jejkowice,Jejkowice,
Jelcz-Laskowice,Jelcz-Laskowice,
Jeleń,Jeleń,
Jelenia Góra,Jelenia Góra,
Jelenino,Jelenino,
Jełowa,Jełowa,
Jenin,Jenin,
Jeniniec,Jeniniec,
Jerzmanice-Zdrój,Jerzmanice-Zdrój,
Jerzykowo,Jerzykowo,
Jesionowo,Jesionowo,
Jeszkotle,Jeszkotle,
Jeżewo,Jeżewo,
Jezierzyce,Jezierzyce,
Jeziorany,Jeziorany,
Jeziory Wielkie,Jeziory Wielkie,
Jeżów Sudecki,Jeżów Sudecki,
Jeżyce,Jeżyce,
Jonkowo,Jonkowo,
Jora Wielka,Jora Wielka,
Józefinowo,Józefinowo,
Józefosław,Józefosław,
Józefów,Józefów,
Julianów,Julianów,
Junoszyno,Junoszyno,
Jurata,Jurata,
Jurczyce,Jurczyce,
Justynów,Justynów,
Juszkowo,Juszkowo,
Kacwin,Kacwin,
Kaczory,Kaczory,
Kaczyce,Kaczyce,
Kaczynos,Kaczynos,
